	0	1	2	p_value
0	CHEMBL66004	9833	1	0.6610966885111514
1	CHEMBL66004	5290	1	0.6610966885111514
2	CHEMBL63728	9833	1	0.30184866610936456
3	CHEMBL63728	5290	1	0.30184866610936456
4	CHEMBL588025	4916	1	1.0
5	CHEMBL588025	2263	1	1.0
6	CHEMBL581096	2263	1	0.7243896162265653
7	CHEMBL520037	9833	1	0.5123250208844705
8	CHEMBL513897	9833	1	1.0
9	CHEMBL513897	11200	1	1.0
10	CHEMBL511765	11200	1	1.0
11	CHEMBL506153	9833	1	1.0
12	CHEMBL495771	9833	1	0.5123250208844705
13	CHEMBL495696	9833	1	0.7720650625321562
14	CHEMBL495696	4916	1	0.7720650625321562
15	CHEMBL477069	9833	1	0.7713152765536431
16	CHEMBL477069	11200	1	0.7713152765536431
17	CHEMBL476259	9833	1	0.5862687726425153
18	CHEMBL476259	11200	1	0.5862687726425153
19	CHEMBL468963	9833	1	0.18656856171488712
20	CHEMBL458865	9833	1	1.0
21	CHEMBL458865	11200	1	1.0
22	CHEMBL450071	11200	1	1.0
23	CHEMBL410072	9833	1	0.6871559525995208
24	CHEMBL410072	4916	1	0.6871559525995208
25	CHEMBL409892	9833	1	1.0
26	CHEMBL409892	4916	1	1.0
27	CHEMBL409892	2263	1	1.0
28	CHEMBL405042	9833	1	0.28302815518291596
29	CHEMBL405042	4916	1	0.28302815518291596
30	CHEMBL396107	4916	1	0.6871559525995208
31	CHEMBL396107	2263	1	0.6871559525995208
32	CHEMBL373751	4916	1	1.0
33	CHEMBL373751	11200	1	1.0
34	CHEMBL372474	2263	1	1.0
35	CHEMBL361894	9833	1	0.7312627054923815
36	CHEMBL359999	9833	1	1.0
37	CHEMBL359999	4916	1	1.0
38	CHEMBL275473	2263	1	0.6027856815417818
39	CHEMBL273564	4916	1	1.0
40	CHEMBL273564	2263	1	1.0
41	CHEMBL272414	4916	1	1.0
42	CHEMBL272165	9833	1	0.6803760506434733
43	CHEMBL272165	4916	1	0.6803760506434733
44	CHEMBL272028	9833	1	0.7152085173072504
45	CHEMBL272028	4916	1	0.7152085173072504
46	CHEMBL272026	9833	1	0.3576241464547005
47	CHEMBL272026	4916	1	0.3576241464547005
48	CHEMBL271595	9833	1	1.0
49	CHEMBL271595	4916	1	1.0
50	CHEMBL271595	2263	1	1.0
51	CHEMBL270544	4916	1	1.0
52	CHEMBL270054	4916	1	1.0
53	CHEMBL269883	9833	1	1.0
54	CHEMBL269883	4916	1	1.0
55	CHEMBL269827	4916	1	1.0
56	CHEMBL261849	4916	1	0.18549375000000012
57	CHEMBL247228	4916	1	0.6803760506434733
58	CHEMBL247228	2263	1	0.6803760506434733
59	CHEMBL222419	4916	1	0.6610966885111514
60	CHEMBL222419	2263	1	0.6610966885111514
61	CHEMBL220465	9833	1	1.0
62	CHEMBL1956068	9833	1	1.0
63	CHEMBL1956068	4916	1	1.0
64	CHEMBL1956068	11200	1	1.0
65	CHEMBL191705	2263	1	1.0
66	CHEMBL1909399	4916	1	0.5818796647808229
67	CHEMBL1909396	4916	1	0.7707421318833524
68	CHEMBL1909396	2263	1	0.7707421318833524
69	CHEMBL1909384	9833	1	1.0
70	CHEMBL1909375	207	1	1.0
71	CHEMBL1909374	4916	1	1.0
72	CHEMBL1909369	4916	1	1.0
73	CHEMBL1909368	4916	1	1.0
74	CHEMBL1909365	4916	1	1.0
75	CHEMBL1909363	9833	1	1.0
76	CHEMBL1909359	2263	1	0.7226842937279352
77	CHEMBL1909358	2263	1	1.0
78	CHEMBL1909350	9833	1	0.030053642645566717
79	CHEMBL1909350	208	1	0.030053642645566717
80	CHEMBL1909350	207	1	0.030053642645566717
81	CHEMBL1909349	9833	1	0.751568239230171
82	CHEMBL1909349	208	1	0.751568239230171
83	CHEMBL1909349	207	1	0.751568239230171
